,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE
170,New York,Orange County,263739.0,2010,373445,19399878,0.0192,5076.94
171,Ohio,Butler County,145363.0,2010,369102,11539336,0.032,4649.64
172,New Jersey,Mercer County,254501.0,2010,367713,8799446,0.0418,10635.14
173,Pennsylvania,Westmoreland County,145287.0,2010,365028,12711160,0.0287,4172.23
174,Indiana,Allen County,105199.0,2010,355945,6490432,0.0548,5769.27
175,Oregon,Lane County,209845.0,2010,351920,3837491,0.0917,19243.99
176,North Carolina,Forsyth County,140840.0,2010,351374,9574323,0.0367,5168.77
177,South Carolina,Charleston County,245998.0,2010,350940,4635649,0.0757,18623.18
178,Pennsylvania,Lehigh County,189203.0,2010,350164,12711160,0.0275,5212.12
179,California,Placer County,313225.0,2010,350021,37319502,0.0094,2937.75
180,Michigan,Washtenaw County,183249.0,2010,345717,9877510,0.035,6413.79
181,Louisiana,Orleans Parish,157586.0,2010,347772,4544532,0.0765,12059.33
182,Texas,Nueces County,126408.0,2010,340245,25241971,0.0135,1703.9
183,Tennessee,Hamilton County,148940.0,2010,337214,6355311,0.0531,7902.78
184,Alabama,Madison County,167778.0,2010,336095,4785437,0.0702,11783.53
185,Florida,Marion County,112790.0,2010,331331,18845537,0.0176,1983.01
186,Minnesota,Anoka County,178463.0,2010,331437,5310828,0.0624,11137.48
187,New Jersey,Somerset County,390892.0,2010,324122,8799446,0.0368,14398.26
188,Florida,Manatee County,176947.0,2010,323424,18845537,0.0172,3036.74
189,Florida,Collier County,242049.0,2010,322581,18845537,0.0171,4143.18
190,Pennsylvania,Luzerne County,110227.0,2010,320998,12711160,0.0253,2783.59
191,North Carolina,Cumberland County,131813.0,2010,327197,9574323,0.0342,4504.63
192,Virginia,Chesterfield County,211687.0,2010,317198,8023699,0.0395,8368.55
193,Oregon,Marion County,188107.0,2010,315941,3837491,0.0823,15486.87
194,Texas,Brazoria County,162035.0,2010,314428,25241971,0.0125,2018.4
195,Virginia,Loudoun County,425453.0,2010,315478,8023699,0.0393,16728.08
196,New York,Rockland County,436030.0,2010,312499,19399878,0.0161,7023.7
197,Texas,Bell County,138727.0,2010,312849,25241971,0.0124,1719.38
198,Illinois,McHenry County,193505.0,2010,309112,12840503,0.0241,4658.28
199,Virginia,Henrico County,203590.0,2010,307253,8023699,0.0383,7796.11
200,Utah,Davis County,216669.0,2010,307910,2775332,0.1109,24038.4
201,New York,Albany County,209079.0,2010,304086,19399878,0.0157,3277.24
202,Ohio,Lorain County,130212.0,2010,301478,11539336,0.0261,3401.93
203,Colorado,Larimer County,241184.0,2010,300441,5047349,0.0595,14356.36
204,Pennsylvania,Northampton County,199886.0,2010,297935,12711160,0.0234,4685.1
205,Florida,Escambia County,123469.0,2010,298038,18845537,0.0158,1952.63
206,New York,Dutchess County,291975.0,2010,297728,19399878,0.0153,4480.91
207,Florida,Lake County,147612.0,2010,297709,18845537,0.0158,2331.87
208,Kentucky,Fayette County,161923.0,2010,296848,4348181,0.0683,11054.4
209,Illinois,Winnebago County,105485.0,2010,295083,12840503,0.023,2424.11
210,New Hampshire,Rockingham County,273436.0,2010,295289,1316762,0.2243,61319.09
211,Colorado,Boulder County,332321.0,2010,295037,5047349,0.0585,19425.44
212,Texas,Galveston County,162956.0,2010,292484,25241971,0.0116,1888.21
213,New Jersey,Gloucester County,209458.0,2010,289150,8799446,0.0329,6882.79
214,Maryland,Howard County,416166.0,2010,288627,5788645,0.0499,20750.41
215,Colorado,Douglas County,355229.0,2010,286977,5047349,0.0569,20197.25
216,Nebraska,Lancaster County,147059.0,2010,286162,1829542,0.1564,23001.77
