,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE,Percent_change,New_percent_change
21706,Missouri,Reynolds County,109828.0,2017,6260,6106670,0.0010251086107485748,112.59,0.0,1.0
24442,Missouri,Reynolds County,112853.0,2018,6282,6121623,0.0010261984444321383,115.81,0.0275,1.0275
27178,Missouri,Reynolds County,116458.0,2019,6270,6137428,0.0010216005792654513,118.97,0.0319,1.0319
1604,Missouri,Saline County,0.0,2010,23420,5995974,0.003905954228620738,0.0,0.0,1.0
4340,Missouri,Saline County,0.0,2011,23406,6010275,0.0038943309582340243,0.0,0.0,1.0
7076,Missouri,Saline County,71969.0,2012,23544,6024367,0.003908128439054261,281.26,0.0,1.0
9812,Missouri,Saline County,72006.0,2013,23355,6040715,0.00386626417568119,278.39,0.0005,1.0005
12548,Missouri,Saline County,75496.0,2014,23398,6056202,0.0038634774731754326,291.68,0.0485,1.0485
15284,Missouri,Saline County,80202.0,2015,23226,6071732,0.003825267650153202,306.79,0.0623,1.0623
18020,Missouri,Saline County,81634.0,2016,23095,6087135,0.0037940673239545367,309.72,0.0179,1.0179
20756,Missouri,Saline County,88923.0,2017,22910,6106670,0.0037516355067491775,333.61,0.0893,1.0893
23492,Missouri,Saline County,92968.0,2018,22890,6121623,0.0037392044560731687,347.63,0.0455,1.0455
26228,Missouri,Saline County,93681.0,2019,22761,6137428,0.0037085567439650614,347.42,0.0077,1.0077
1137,Missouri,Scott County,0.0,2010,39261,5995974,0.006547893636630179,0.0,0.0,1.0
3873,Missouri,Scott County,0.0,2011,39147,6010275,0.006513345895154548,0.0,0.0,1.0
6609,Missouri,Scott County,0.0,2012,39161,6024367,0.006500433987504413,0.0,0.0,1.0
9345,Missouri,Scott County,0.0,2013,39207,6040715,0.006490456841615603,0.0,0.0,1.0
12081,Missouri,Scott County,0.0,2014,38868,6056202,0.006417883683536315,0.0,0.0,1.0
14817,Missouri,Scott County,0.0,2015,39007,6071732,0.006424361286038316,0.0,0.0,1.0
17553,Missouri,Scott County,0.0,2016,38760,6087135,0.006367527580709151,0.0,0.0,1.0
20289,Missouri,Scott County,0.0,2017,38576,6106670,0.006317027119526681,0.0,0.0,1.0
23025,Missouri,Scott County,106562.0,2018,38541,6121623,0.006295879377086763,670.9,0.0,1.0
25761,Missouri,Scott County,108984.0,2019,38280,6137428,0.0062371403786732815,679.75,0.0227,1.0227
2438,Missouri,Shannon County,0.0,2010,8443,5995974,0.0014081115094895342,0.0,0.0,1.0
5174,Missouri,Shannon County,0.0,2011,8412,6010275,0.001399603179555012,0.0,0.0,1.0
7910,Missouri,Shannon County,0.0,2012,8332,6024367,0.0013830498706337113,0.0,0.0,1.0
10646,Missouri,Shannon County,0.0,2013,8288,6040715,0.0013720230138319718,0.0,0.0,1.0
13382,Missouri,Shannon County,0.0,2014,8293,6056202,0.0013693400583401941,0.0,0.0,1.0
16118,Missouri,Shannon County,0.0,2015,8273,6071732,0.0013625436695822544,0.0,0.0,1.0
18854,Missouri,Shannon County,0.0,2016,8222,6087135,0.0013507175378893355,0.0,0.0,1.0
21590,Missouri,Shannon County,0.0,2017,8235,6106670,0.0013485254647786764,0.0,0.0,1.0
24326,Missouri,Shannon County,0.0,2018,8189,6121623,0.001337717138085766,0.0,0.0,1.0
27062,Missouri,Shannon County,0.0,2019,8166,6137428,0.0013305247735696452,0.0,0.0,1.0
2573,Missouri,Shelby County,68794.0,2010,6365,5995974,0.0010615456304513661,73.03,0.0,1.0
5309,Missouri,Shelby County,67550.0,2011,6235,6010275,0.0010373901360586663,70.08,-0.0181,0.9819
8045,Missouri,Shelby County,68961.0,2012,6216,6024367,0.0010318096490469456,71.15,0.0209,1.0209
10781,Missouri,Shelby County,71221.0,2013,6152,6040715,0.001018422488066396,72.53,0.0328,1.0328
13517,Missouri,Shelby County,74609.0,2014,6092,6056202,0.0010059109653211698,75.05,0.0476,1.0476
16253,Missouri,Shelby County,74630.0,2015,6101,6071732,0.0010048203708595833,74.99,0.0003,1.0003
18989,Missouri,Shelby County,78401.0,2016,6044,6087135,0.0009929137434934497,77.85,0.0505,1.0505
21725,Missouri,Shelby County,81698.0,2017,5995,6106670,0.0009817134379293462,80.2,0.0421,1.0421
24461,Missouri,Shelby County,85241.0,2018,5997,6121623,0.000979642163524281,83.51,0.0434,1.0434
27197,Missouri,Shelby County,88845.0,2019,5930,6137428,0.000966202780708792,85.84,0.0423,1.0423
1367,Missouri,Stoddard County,0.0,2010,30027,5995974,0.0050078602742440175,0.0,0.0,1.0
4103,Missouri,Stoddard County,0.0,2011,29851,6010275,0.0049666612592601835,0.0,0.0,1.0
6839,Missouri,Stoddard County,0.0,2012,29814,6024367,0.004948901685438487,0.0,0.0,1.0
9575,Missouri,Stoddard County,0.0,2013,29795,6040715,0.004932363139131709,0.0,0.0,1.0
12311,Missouri,Stoddard County,0.0,2014,29785,6056202,0.004918098834880343,0.0,0.0,1.0
15047,Missouri,Stoddard County,0.0,2015,29736,6071732,0.004897449360413141,0.0,0.0,1.0
17783,Missouri,Stoddard County,0.0,2016,29498,6087135,0.0048459579095912935,0.0,0.0,1.0
20519,Missouri,Stoddard County,0.0,2017,29364,6106670,0.004808512659108811,0.0,0.0,1.0
23255,Missouri,Stoddard County,91555.0,2018,29264,6121623,0.004780431594693106,437.67,0.0,1.0
25991,Missouri,Stoddard County,94604.0,2019,29025,6137428,0.004729179715020689,447.4,0.0333,1.0333
1328,Missouri,Stone County,141086.0,2010,32235,5995974,0.005376107368043958,758.49,0.0,1.0
4064,Missouri,Stone County,140226.0,2011,32118,6010275,0.005343848659171169,749.35,-0.0061,0.9939
6800,Missouri,Stone County,141487.0,2012,31893,6024367,0.005294000182923783,749.03,0.009,1.009
9536,Missouri,Stone County,143006.0,2013,31658,6040715,0.005240770339272752,749.46,0.0107,1.0107
12272,Missouri,Stone County,148841.0,2014,31445,6056202,0.005192198014531219,772.81,0.0408,1.0408
15008,Missouri,Stone County,154998.0,2015,31307,6071732,0.005156189370677099,799.2,0.0414,1.0414
17744,Missouri,Stone County,161919.0,2016,31471,6087135,0.005170084120033481,837.13,0.0447,1.0447
20480,Missouri,Stone County,169802.0,2017,31642,6106670,0.005181547389985049,879.84,0.0487,1.0487
23216,Missouri,Stone County,179082.0,2018,31701,6121623,0.005178528635298188,927.38,0.0547,1.0547
25952,Missouri,Stone County,185702.0,2019,31952,6137428,0.005206089586712871,966.78,0.037,1.037
2551,Missouri,Sullivan County,0.0,2010,6737,5995974,0.0011235872603850517,0.0,0.0,1.0
5287,Missouri,Sullivan County,0.0,2011,6663,6010275,0.0011086015198971762,0.0,0.0,1.0
8023,Missouri,Sullivan County,0.0,2012,6556,6024367,0.0010882471137631554,0.0,0.0,1.0
10759,Missouri,Sullivan County,0.0,2013,6497,6040715,0.0010755349325369597,0.0,0.0,1.0
13495,Missouri,Sullivan County,45597.0,2014,6472,6056202,0.001068656560662937,48.73,0.0,1.0
16231,Missouri,Sullivan County,48983.0,2015,6366,6071732,0.0010484652484661708,51.36,0.0743,1.0743
18967,Missouri,Sullivan County,50203.0,2016,6333,6087135,0.0010403909228232987,52.23,0.0249,1.0249
21703,Missouri,Sullivan County,51627.0,2017,6212,6106670,0.001017248353030375,52.52,0.0284,1.0284
24439,Missouri,Sullivan County,55747.0,2018,6233,6121623,0.001018194031223419,56.76,0.0798,1.0798
27175,Missouri,Sullivan County,56140.0,2019,6089,6137428,0.000992109398269112,55.7,0.007,1.007
911,Missouri,Taney County,142686.0,2010,51902,5995974,0.008656141604349852,1235.11,0.0,1.0
3647,Missouri,Taney County,140566.0,2011,52652,6010275,0.00876033126604024,1231.4,-0.0149,0.9851
6383,Missouri,Taney County,138407.0,2012,52901,6024367,0.00878117153221243,1215.38,-0.0154,0.9846
9119,Missouri,Taney County,139164.0,2013,53255,6040715,0.008816009363130027,1226.87,0.0055,1.0055
11855,Missouri,Taney County,144587.0,2014,53810,6056202,0.00888510654036969,1284.67,0.039,1.039
14591,Missouri,Taney County,148247.0,2015,54216,6071732,0.008929247865353741,1323.73,0.0253,1.0253
17327,Missouri,Taney County,153032.0,2016,54608,6087135,0.008971051241676093,1372.86,0.0323,1.0323
20063,Missouri,Taney County,158859.0,2017,55100,6106670,0.009022920839017009,1433.37,0.0381,1.0381
22799,Missouri,Taney County,162930.0,2018,55719,6121623,0.009101997950543507,1482.99,0.0256,1.0256
25535,Missouri,Taney County,173267.0,2019,55928,6137428,0.00911261199316717,1578.91,0.0634,1.0634
1498,Missouri,Texas County,89211.0,2010,26042,5995974,0.004343247652508166,387.47,0.0,1.0
4234,Missouri,Texas County,88765.0,2011,25928,6010275,0.004313945701319823,382.93,-0.005,0.995
6970,Missouri,Texas County,99271.0,2012,25791,6024367,0.004281113683811096,424.99,0.1184,1.1184
9706,Missouri,Texas County,101421.0,2013,25685,6040715,0.004251980105004126,431.24,0.0217,1.0217
12442,Missouri,Texas County,103818.0,2014,25659,6056202,0.004236813765458946,439.86,0.0236,1.0236
15178,Missouri,Texas County,107867.0,2015,25660,6071732,0.004226141733528423,455.86,0.039,1.039
17914,Missouri,Texas County,112559.0,2016,25805,6087135,0.0042392685557327055,477.17,0.0435,1.0435
20650,Missouri,Texas County,117871.0,2017,25650,6106670,0.0042003252181630904,495.1,0.0472,1.0472
23386,Missouri,Texas County,125795.0,2018,25506,6121623,0.0041665421081958165,524.13,0.0672,1.0672
26122,Missouri,Texas County,131093.0,2019,25398,6137428,0.004138215552182445,542.49,0.0421,1.0421
1705,Missouri,Vernon County,0.0,2010,21159,5995974,0.0035288678703409987,0.0,0.0,1.0
4441,Missouri,Vernon County,0.0,2011,21084,6010275,0.003507992562736314,0.0,0.0,1.0
7177,Missouri,Vernon County,78664.0,2012,20930,6024367,0.0034742239309125756,273.3,0.0,1.0
9913,Missouri,Vernon County,76483.0,2013,20978,6040715,0.003472767710444873,265.61,-0.0277,0.9723
12649,Missouri,Vernon County,79073.0,2014,20983,6056202,0.003464712702779729,273.97,0.0339,1.0339
15385,Missouri,Vernon County,84519.0,2015,20758,6071732,0.0034187938466322294,288.95,0.0689,1.0689
18121,Missouri,Vernon County,88323.0,2016,20653,6087135,0.0033928933726621803,299.67,0.045,1.045
20857,Missouri,Vernon County,93571.0,2017,20507,6106670,0.0033581313547317933,314.22,0.0594,1.0594
23593,Missouri,Vernon County,100707.0,2018,20492,6121623,0.0033474782749607418,337.11,0.0763,1.0763
26329,Missouri,Vernon County,104356.0,2019,20563,6137428,0.0033504262697664233,349.64,0.0362,1.0362
1317,Missouri,Warren County,160011.0,2010,32605,5995974,0.005437815440827462,870.11,0.0,1.0
4053,Missouri,Warren County,154937.0,2011,32604,6010275,0.005424710183810225,840.49,-0.0317,0.9683
6789,Missouri,Warren County,162558.0,2012,32738,6024367,0.005434263881997893,883.38,0.0492,1.0492
9525,Missouri,Warren County,162505.0,2013,32980,6040715,0.005459618604751259,887.22,-0.0003,0.9997
12261,Missouri,Warren County,169218.0,2014,33180,6056202,0.005478681193262708,927.09,0.0413,1.0413000000000001
14997,Missouri,Warren County,157252.0,2015,33532,6071732,0.005522641644921087,868.45,-0.0707,0.9293
17733,Missouri,Warren County,164065.0,2016,33871,6087135,0.005564358273637762,912.92,0.0433,1.0433
20469,Missouri,Warren County,168488.0,2017,34448,6106670,0.005641044955761487,950.45,0.027,1.027
23205,Missouri,Warren County,181344.0,2018,34766,6121623,0.005679212849272162,1029.89,0.0763,1.0763
25941,Missouri,Warren County,186817.0,2019,35649,6137428,0.005808459178665721,1085.12,0.0302,1.0302
1532,Missouri,Washington County,0.0,2010,25201,5995974,0.004202986870857012,0.0,0.0,1.0
4268,Missouri,Washington County,0.0,2011,25105,6010275,0.004177013530994838,0.0,0.0,1.0
7004,Missouri,Washington County,0.0,2012,25088,6024367,0.004164420925883167,0.0,0.0,1.0
9740,Missouri,Washington County,86614.0,2013,25144,6040715,0.00416242117034159,360.52,0.0,1.0
12476,Missouri,Washington County,84571.0,2014,25079,6056202,0.004141044172568881,350.21,-0.0236,0.9764
15212,Missouri,Washington County,92847.0,2015,24793,6071732,0.004083348869811777,379.13,0.0979,1.0979
17948,Missouri,Washington County,97570.0,2016,24852,6087135,0.004082708860572338,398.35,0.0509,1.0509
20684,Missouri,Washington County,108092.0,2017,24994,6106670,0.0040929016960143585,442.41,0.1078,1.1078000000000001
23420,Missouri,Washington County,116299.0,2018,24933,6121623,0.004072939480265283,473.68,0.0759,1.0759
26156,Missouri,Washington County,120978.0,2019,24730,6137428,0.004029375171488774,487.47,0.0402,1.0402
2116,Missouri,Wayne County,0.0,2010,13519,5995974,0.0022546795566491785,0.0,0.0,1.0
4852,Missouri,Wayne County,0.0,2011,13425,6010275,0.0022336748318504563,0.0,0.0,1.0
7588,Missouri,Wayne County,0.0,2012,13408,6024367,0.0022256280203380705,0.0,0.0,1.0
10324,Missouri,Wayne County,0.0,2013,13475,6040715,0.002230696200698096,0.0,0.0,1.0
13060,Missouri,Wayne County,0.0,2014,13481,6056202,0.002225982554743055,0.0,0.0,1.0
15796,Missouri,Wayne County,0.0,2015,13431,6071732,0.002212054155222925,0.0,0.0,1.0
18532,Missouri,Wayne County,0.0,2016,13236,6087135,0.0021744219571276143,0.0,0.0,1.0
21268,Missouri,Wayne County,0.0,2017,13303,6106670,0.0021784376755252864,0.0,0.0,1.0
24004,Missouri,Wayne County,0.0,2018,13132,6121623,0.0021451827399367783,0.0,0.0,1.0
26740,Missouri,Wayne County,0.0,2019,12873,6137428,0.002097458414176101,0.0,0.0,1.0
1215,Missouri,Webster County,0.0,2010,36320,5995974,0.006057397847288864,0.0,0.0,1.0
3951,Missouri,Webster County,0.0,2011,36448,6010275,0.006064281584453291,0.0,0.0,1.0
6687,Missouri,Webster County,118973.0,2012,36448,6024367,0.006050096217577714,719.8,0.0,1.0
9423,Missouri,Webster County,119721.0,2013,36626,6040715,0.0060631895396488665,725.89,0.0063,1.0063
12159,Missouri,Webster County,124930.0,2014,37042,6056202,0.00611637458592035,764.12,0.0435,1.0435
14895,Missouri,Webster County,130543.0,2015,37604,6071732,0.006193290481200422,808.49,0.0449,1.0449
17631,Missouri,Webster County,136337.0,2016,38154,6087135,0.00626797335692407,854.56,0.0444,1.0444
20367,Missouri,Webster County,145317.0,2017,38745,6106670,0.00634470177690951,921.99,0.0659,1.0659
23103,Missouri,Webster County,156475.0,2018,39179,6121623,0.0064001001041717204,1001.46,0.0768,1.0768
25839,Missouri,Webster County,162993.0,2019,39592,6137428,0.006450910707221331,1051.45,0.0417,1.0417
1807,Missouri,Wright County,0.0,2010,18779,5995974,0.003131934861625484,0.0,0.0,1.0
4543,Missouri,Wright County,0.0,2011,18572,6010275,0.0030900416370299197,0.0,0.0,1.0
7279,Missouri,Wright County,0.0,2012,18556,6024367,0.003080157633158803,0.0,0.0,1.0
10015,Missouri,Wright County,0.0,2013,18333,6040715,0.0030349056361705525,0.0,0.0,1.0
12751,Missouri,Wright County,0.0,2014,18198,6056202,0.0030048535369196733,0.0,0.0,1.0
15487,Missouri,Wright County,0.0,2015,18146,6071732,0.0029886035813174888,0.0,0.0,1.0
18223,Missouri,Wright County,0.0,2016,18185,6087135,0.0029874481180391104,0.0,0.0,1.0
20959,Missouri,Wright County,0.0,2017,18210,6106670,0.0029819852718421004,0.0,0.0,1.0
23695,Missouri,Wright County,0.0,2018,18187,6121623,0.0029709441434077203,0.0,0.0,1.0
26431,Missouri,Wright County,0.0,2019,18289,6137428,0.002979912758243355,0.0,0.0,1.0
2373,Montana,Beaverhead County,146354.0,2010,9255,990697,0.009341907767965382,1367.23,0.0,1.0
5109,Montana,Beaverhead County,147274.0,2011,9210,997316,0.009234786166069731,1360.04,0.0063,1.0063
7845,Montana,Beaverhead County,151315.0,2012,9359,1003783,0.009323728335706024,1410.82,0.0274,1.0274
10581,Montana,Beaverhead County,159818.0,2013,9306,1013569,0.00918141734800492,1467.36,0.0562,1.0562
13317,Montana,Beaverhead County,168705.0,2014,9337,1021869,0.00913717903175456,1541.49,0.0556,1.0556
16053,Montana,Beaverhead County,183601.0,2015,9295,1030475,0.009020112084233,1656.1,0.0883,1.0883
18789,Montana,Beaverhead County,190245.0,2016,9463,1040859,0.009091529208086781,1729.62,0.0362,1.0362
21525,Montana,Beaverhead County,201875.0,2017,9450,1052482,0.008978775884053124,1812.59,0.0611,1.0611
24261,Montana,Beaverhead County,216290.0,2018,9412,1060665,0.008873678305591303,1919.29,0.0714,1.0714
26997,Montana,Beaverhead County,228623.0,2019,9453,1068778,0.008844680560415727,2022.1,0.057,1.057
2619,Montana,Broadwater County,0.0,2010,5633,990697,0.005685895889459643,0.0,0.0,1.0
5355,Montana,Broadwater County,0.0,2011,5726,997316,0.005741409944290476,0.0,0.0,1.0
8091,Montana,Broadwater County,183896.0,2012,5759,1003783,0.005737295809950955,1055.07,0.0,1.0
10827,Montana,Broadwater County,186958.0,2013,5676,1013569,0.00560001341793208,1046.97,0.0167,1.0167
13563,Montana,Broadwater County,191475.0,2014,5653,1021869,0.005532020249170882,1059.24,0.0242,1.0242
16299,Montana,Broadwater County,209967.0,2015,5714,1030475,0.005545015648123438,1164.27,0.0966,1.0966
19035,Montana,Broadwater County,221030.0,2016,5785,1040859,0.005557909380617355,1228.46,0.0527,1.0527
21771,Montana,Broadwater County,236480.0,2017,5917,1052482,0.005621948878935697,1329.48,0.0699,1.0699
24507,Montana,Broadwater County,252661.0,2018,6072,1060665,0.005724710441091202,1446.41,0.0684,1.0684
27243,Montana,Broadwater County,272891.0,2019,6237,1068778,0.005835636586830941,1592.49,0.0801,1.0801
2320,Montana,Carbon County,0.0,2010,10063,990697,0.010157495177637562,0.0,0.0,1.0
5056,Montana,Carbon County,0.0,2011,10089,997316,0.010116151751300491,0.0,0.0,1.0
7792,Montana,Carbon County,0.0,2012,10141,1003783,0.010102781178800598,0.0,0.0,1.0
10528,Montana,Carbon County,0.0,2013,10337,1013569,0.01019861499315784,0.0,0.0,1.0
13264,Montana,Carbon County,0.0,2014,10438,1021869,0.010214616550653753,0.0,0.0,1.0
16000,Montana,Carbon County,0.0,2015,10403,1030475,0.010095344380018923,0.0,0.0,1.0
18736,Montana,Carbon County,0.0,2016,10485,1040859,0.010073410519580462,0.0,0.0,1.0
21472,Montana,Carbon County,0.0,2017,10680,1052482,0.010147441951501308,0.0,0.0,1.0
24208,Montana,Carbon County,0.0,2018,10691,1060665,0.010079525580649876,0.0,0.0,1.0
26944,Montana,Carbon County,299755.0,2019,10725,1068778,0.010034824818624635,3007.99,0.0,1.0
642,Montana,Cascade County,150436.0,2010,81507,990697,0.0822723799506812,12376.73,0.0,1.0
3378,Montana,Cascade County,150243.0,2011,81714,997316,0.08193391061609359,12310.0,-0.0013,0.9987
6114,Montana,Cascade County,162200.0,2012,81622,1003783,0.08131438767143895,13189.19,0.0796,1.0796000000000001
8850,Montana,Cascade County,165396.0,2013,82194,1013569,0.08109364039350059,13412.56,0.0197,1.0197
11586,Montana,Cascade County,169396.0,2014,82056,1021869,0.08029992102705924,13602.49,0.0242,1.0242
14322,Montana,Cascade County,177480.0,2015,81878,1030475,0.07945656129454863,14101.95,0.0477,1.0477
17058,Montana,Cascade County,179852.0,2016,81562,1040859,0.07836027742470401,14093.25,0.0134,1.0134
19794,Montana,Cascade County,184952.0,2017,81633,1052482,0.0775623716130062,14345.32,0.0284,1.0284
22530,Montana,Cascade County,192873.0,2018,81688,1060665,0.07701583440577374,14854.28,0.0428,1.0428
25266,Montana,Cascade County,199193.0,2019,81366,1068778,0.07612993530929715,15164.55,0.0328,1.0328
2611,Montana,Chouteau County,0.0,2010,5810,990697,0.005864557982915059,0.0,0.0,1.0
5347,Montana,Chouteau County,0.0,2011,5812,997316,0.005827641389489389,0.0,0.0,1.0
8083,Montana,Chouteau County,0.0,2012,5932,1003783,0.00590964381743863,0.0,0.0,1.0
10819,Montana,Chouteau County,116088.0,2013,5853,1013569,0.005774643857497615,670.37,0.0,1.0
13555,Montana,Chouteau County,126766.0,2014,5899,1021869,0.005772755607617024,731.79,0.092,1.092
16291,Montana,Chouteau County,143744.0,2015,5774,1030475,0.005603241223707514,805.43,0.1339,1.1339
19027,Montana,Chouteau County,126223.0,2016,5780,1040859,0.005553105656001437,700.93,-0.1219,0.8781
21763,Montana,Chouteau County,136370.0,2017,5732,1052482,0.0054461739013113766,742.69,0.0804,1.0804
24499,Montana,Chouteau County,139203.0,2018,5740,1060665,0.005411699264140893,753.32,0.0208,1.0208
27235,Montana,Chouteau County,147966.0,2019,5635,1068778,0.00527237648978553,780.13,0.063,1.063
2208,Montana,Custer County,0.0,2010,11692,990697,0.01180179207164249,0.0,0.0,1.0
4944,Montana,Custer County,0.0,2011,11758,997316,0.011789643402893365,0.0,0.0,1.0
7680,Montana,Custer County,0.0,2012,11798,1003783,0.011753536371905083,0.0,0.0,1.0
10416,Montana,Custer County,0.0,2013,11873,1013569,0.011714052028031639,0.0,0.0,1.0
13152,Montana,Custer County,0.0,2014,12008,1021869,0.011751017009029533,0.0,0.0,1.0
15888,Montana,Custer County,144445.0,2015,12083,1030475,0.011725660496373032,1693.71,0.0,1.0
18624,Montana,Custer County,150174.0,2016,11843,1040859,0.011378102125263844,1708.7,0.0397,1.0397
21360,Montana,Custer County,158404.0,2017,11726,1052482,0.011141283176339358,1764.82,0.0548,1.0548
24096,Montana,Custer County,168354.0,2018,11592,1060665,0.010928992660265022,1839.94,0.0628,1.0628
26832,Montana,Custer County,182474.0,2019,11402,1068778,0.010668258515800288,1946.68,0.0839,1.0839
2394,Montana,Dawson County,0.0,2010,8950,990697,0.009034043708621304,0.0,0.0,1.0
5130,Montana,Dawson County,0.0,2011,9026,997316,0.009050290980992986,0.0,0.0,1.0
7866,Montana,Dawson County,0.0,2012,9231,1003783,0.00919621073479029,0.0,0.0,1.0
10602,Montana,Dawson County,0.0,2013,9381,1013569,0.009255413296973368,0.0,0.0,1.0
13338,Montana,Dawson County,0.0,2014,9505,1021869,0.00930158366679095,0.0,0.0,1.0
16074,Montana,Dawson County,0.0,2015,9577,1030475,0.009293772289478154,0.0,0.0,1.0
18810,Montana,Dawson County,0.0,2016,9263,1040859,0.008899380223450054,0.0,0.0,1.0
21546,Montana,Dawson County,0.0,2017,8952,1052482,0.008505608646988736,0.0,0.0,1.0
24282,Montana,Dawson County,0.0,2018,8680,1060665,0.008183545228700862,0.0,0.0,1.0
27018,Montana,Dawson County,173252.0,2019,8613,1068778,0.008058736238957014,1396.19,0.0,1.0
2367,Montana,Deer Lodge County,0.0,2010,9291,990697,0.009378245820871569,0.0,0.0,1.0
5103,Montana,Deer Lodge County,0.0,2011,9280,997316,0.009304974551696755,0.0,0.0,1.0
7839,Montana,Deer Lodge County,0.0,2012,9215,1003783,0.009180271034675822,0.0,0.0,1.0
10575,Montana,Deer Lodge County,100888.0,2013,9257,1013569,0.009133073328012203,921.42,0.0,1.0
13311,Montana,Deer Lodge County,104356.0,2014,9115,1021869,0.008919930049742187,930.85,0.0344,1.0344
16047,Montana,Deer Lodge County,108455.0,2015,9102,1030475,0.008832819816104225,957.96,0.0393,1.0393
18783,Montana,Deer Lodge County,112910.0,2016,9057,1040859,0.008701466769274224,982.48,0.0411,1.0411
21519,Montana,Deer Lodge County,120637.0,2017,9100,1052482,0.008646228629088194,1043.06,0.0684,1.0684
24255,Montana,Deer Lodge County,128654.0,2018,9129,1060665,0.00860686456138366,1107.31,0.0665,1.0665
26991,Montana,Deer Lodge County,136181.0,2019,9140,1068778,0.008551822735872183,1164.6,0.0585,1.0585
2217,Montana,Fergus County,0.0,2010,11585,990697,0.011693787303282436,0.0,0.0,1.0
4953,Montana,Fergus County,0.0,2011,11461,997316,0.01149184410959014,0.0,0.0,1.0
7689,Montana,Fergus County,0.0,2012,11391,1003783,0.01134807025024333,0.0,0.0,1.0
10425,Montana,Fergus County,0.0,2013,11464,1013569,0.011310527452990373,0.0,0.0,1.0
13161,Montana,Fergus County,0.0,2014,11329,1021869,0.01108654827575746,0.0,0.0,1.0
15897,Montana,Fergus County,0.0,2015,11307,1030475,0.010972609718818992,0.0,0.0,1.0
18633,Montana,Fergus County,0.0,2016,11349,1040859,0.010903494133211126,0.0,0.0,1.0
21369,Montana,Fergus County,162566.0,2017,11281,1052482,0.010718473095026803,1742.46,0.0,1.0
24105,Montana,Fergus County,172632.0,2018,11117,1060665,0.010481160404086115,1809.38,0.0619,1.0619
26841,Montana,Fergus County,179332.0,2019,11050,1068778,0.010338910419189018,1854.1,0.0388,1.0388
597,Montana,Flathead County,232522.0,2010,90864,990697,0.0917172455352141,21326.28,0.0,1.0
3333,Montana,Flathead County,213760.0,2011,91270,997316,0.09151562794540546,19562.38,-0.0807,0.9193
6069,Montana,Flathead County,221395.0,2012,91597,1003783,0.09125179446155195,20202.69,0.0357,1.0357
8805,Montana,Flathead County,264101.0,2013,92935,1013569,0.09169084689843514,24215.64,0.1929,1.1929
11541,Montana,Flathead County,277705.0,2014,94567,1021869,0.09254317334217987,25699.7,0.0515,1.0515
14277,Montana,Flathead County,291481.0,2015,95839,1030475,0.09300468230670322,27109.1,0.0496,1.0496
17013,Montana,Flathead County,304416.0,2016,97742,1040859,0.09390513028181531,28586.22,0.0444,1.0444
19749,Montana,Flathead County,320641.0,2017,100091,1052482,0.09509996370484246,30492.95,0.0533,1.0533
22485,Montana,Flathead County,343805.0,2018,102017,1060665,0.09618211216548109,33067.89,0.0722,1.0722
25221,Montana,Flathead County,367024.0,2019,103806,1068778,0.09712587646826562,35647.53,0.0675,1.0675
602,Montana,Gallatin County,302211.0,2010,89654,990697,0.09049588320142284,27348.85,0.0,1.0
3338,Montana,Gallatin County,296521.0,2011,91375,997316,0.09162091052384601,27167.52,-0.0188,0.9812
6074,Montana,Gallatin County,303245.0,2012,92570,1003783,0.09222112747476297,27965.6,0.0227,1.0227
8810,Montana,Gallatin County,312791.0,2013,94798,1013569,0.09352890627081135,29255.0,0.0315,1.0315
11546,Montana,Gallatin County,325970.0,2014,97508,1021869,0.09542123305433475,31104.46,0.0421,1.0421
14282,Montana,Gallatin County,348444.0,2015,100882,1030475,0.09789854193454475,34112.16,0.0689,1.0689
17018,Montana,Gallatin County,373496.0,2016,104739,1040859,0.10062746250933123,37583.95,0.0719,1.0719
19754,Montana,Gallatin County,410300.0,2017,108576,1052482,0.10316185930020656,42327.31,0.0985,1.0985
22490,Montana,Gallatin County,445783.0,2018,111682,1060665,0.10529432007278453,46938.42,0.0865,1.0865
25226,Montana,Gallatin County,479554.0,2019,114434,1068778,0.10706994343072182,51345.82,0.0758,1.0758
2124,Montana,Glacier County,0.0,2010,13421,990697,0.013547028001497935,0.0,0.0,1.0
4860,Montana,Glacier County,0.0,2011,13577,997316,0.013613538737972719,0.0,0.0,1.0
7596,Montana,Glacier County,0.0,2012,13667,1003783,0.013615492591526257,0.0,0.0,1.0
10332,Montana,Glacier County,0.0,2013,13789,1013569,0.013604401871012235,0.0,0.0,1.0
13068,Montana,Glacier County,0.0,2014,13704,1021869,0.013410720943682605,0.0,0.0,1.0
15804,Montana,Glacier County,0.0,2015,13636,1030475,0.013232732477740847,0.0,0.0,1.0
18540,Montana,Glacier County,0.0,2016,13711,1040859,0.013172773641770883,0.0,0.0,1.0
21276,Montana,Glacier County,0.0,2017,13732,1052482,0.013047254014795503,0.0,0.0,1.0
24012,Montana,Glacier County,0.0,2018,13828,1060665,0.01303710408093036,0.0,0.0,1.0
26748,Montana,Glacier County,109498.0,2019,13753,1068778,0.012867966967882947,1409.02,0.0,1.0
2703,Montana,Granite County,0.0,2010,3075,990697,0.003103875352403409,0.0,0.0,1.0
5439,Montana,Granite County,0.0,2011,3079,997316,0.0030872862763657656,0.0,0.0,1.0
